dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: unit210-2022-274-6-0
the8x3_filename: 06620000
filename_extension: sbd
filename_label: unit210-2022-274-6-0-sbd(06620000)
mission_name: IMOSGO40.MI
fileopen_time: Sun_Oct__2_23:41:41_2022
sensors_per_cycle: 16
num_label_lines: 3
num_segments: 1
segment_filename_0: unit210-2022-274-6-0
c_ballast_pumped c_battpos c_fin c_heading c_pitch m_ballast_pumped m_battpos m_depth m_fin m_gps_lat m_gps_lon m_heading m_pitch m_present_time m_roll m_water_depth
cc in rad rad rad cc in m rad lat lon rad rad timestamp rad m
4 4 4 4 4 4 4 4 4 8 8 4 4 8 4 4
-233 0.83072 0.0656694 1.6481 -0.4538 -232.596 0.722897 NaN 0.113019 NaN NaN 1.73486 -0.403171 1664755361.30026 -0.0558505 NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1664755366.04993 NaN 33.6259
NaN NaN NaN NaN NaN NaN NaN 22.6826 NaN NaN NaN NaN NaN 1664755370.78766 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 25.3937 NaN NaN NaN NaN NaN 1664755384.81824 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 29.0084 NaN NaN NaN NaN NaN 1664755399.8389 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 32.2804 NaN NaN NaN NaN NaN 1664755414.28241 NaN NaN
233 -0.176837 0.290329 1.64813 0.4538 44.8014 -0.166487 NaN 0.222899 NaN NaN 1.33343 0.324631 1664755424.01053 -0.0366519 NaN
NaN NaN NaN NaN NaN NaN NaN 32 NaN NaN NaN NaN NaN 1664755428.89368 NaN 34.3688
NaN NaN NaN NaN NaN NaN NaN 30.3484 NaN NaN NaN NaN NaN 1664755443.11011 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 28.4475 NaN NaN NaN NaN NaN 1664755457.15427 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 26.2662 NaN NaN NaN NaN NaN 1664755471.18442 NaN NaN
233 -0.128354 0.0121331 1.64811 0.4538 231.398 -0.165282 24.303 0.0125577 NaN NaN 1.8134 0.441568 1664755485.21246 -0.0401426 NaN
NaN NaN NaN NaN NaN NaN NaN 22.3087 NaN NaN NaN NaN NaN 1664755499.25287 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 20.1897 NaN NaN NaN NaN NaN 1664755513.27887 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 18.0707 NaN NaN NaN NaN NaN 1664755527.29947 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 16.0763 NaN NaN NaN NaN NaN 1664755541.30847 NaN NaN
233 -0.128354 0.00995708 1.64806 0.4538 232.022 -0.164077 NaN 0.00941826 NaN NaN 1.70519 0.429351 1664755546.04257 -0.0471239 NaN
NaN NaN NaN NaN NaN NaN NaN 13.5834 NaN NaN NaN NaN NaN 1664755555.42661 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 11.7137 NaN NaN NaN NaN NaN 1664755569.45721 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 9.12726 NaN NaN NaN NaN NaN 1664755583.47827 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 7.13291 NaN NaN NaN NaN NaN 1664755597.50391 NaN NaN
233 -0.128354 0.138014 1.64807 0.4538 232.022 -0.164077 NaN 0.125577 NaN NaN 1.55683 0.42586 1664755606.89578 -0.0523599 NaN
NaN NaN NaN NaN NaN NaN NaN 4.88927 NaN NaN NaN NaN NaN 1664755611.63364 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 2.86376 NaN NaN NaN NaN NaN 1664755626.33224 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 4.2972 NaN NaN NaN NaN NaN 1664755641.61237 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 6.69665 NaN NaN NaN NaN NaN 1664755655.85077 NaN NaN
-233 0.76193 0.00110957 1.64805 -0.4538 -231.972 0.740974 9.06494 -0.00313942 NaN NaN 1.70344 -0.401426 1664755669.90247 -0.0418879 NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1664755674.66449 NaN 34.4782
NaN NaN NaN NaN NaN NaN NaN 11.9318 NaN NaN NaN NaN NaN 1664755684.05447 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 14.3624 NaN NaN NaN NaN NaN 1664755698.08127 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 17.354 NaN NaN NaN NaN NaN 1664755712.0979 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 19.8781 NaN NaN NaN NaN NaN 1664755726.15005 NaN NaN
-233 0.840688 0.165366 1.64808 -0.4538 -232.284 0.740974 NaN 0.175808 NaN NaN 1.62316 -0.413643 1664755730.89197 -0.0610865 NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1664755735.64932 NaN 34.4251
NaN NaN NaN NaN NaN NaN NaN 22.371 NaN NaN NaN NaN NaN 1664755740.38641 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 25.3313 NaN NaN NaN NaN NaN 1664755754.40906 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 27.7931 NaN NaN NaN NaN NaN 1664755768.43207 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 30.5042 NaN NaN NaN NaN NaN 1664755782.46945 NaN NaN
233 -0.164502 0.21424 1.6481 0.4538 -40.6958 -0.141179 NaN 0.172668 NaN NaN 1.3823 0.165806 1664755792.42007 -0.0558505 NaN
NaN NaN NaN NaN NaN NaN NaN 31.8753 NaN NaN NaN NaN NaN 1664755797.28021 NaN 34.5683
NaN NaN NaN NaN NaN NaN NaN 30.7846 NaN NaN NaN NaN NaN 1664755811.61594 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 28.5098 NaN NaN NaN NaN NaN 1664755825.64685 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 26.5467 NaN NaN NaN NaN NaN 1664755839.67065 NaN NaN
233 -0.164502 0.0352205 1.64809 0.4538 231.398 -0.146 24.4588 0.0659278 NaN NaN 1.83958 0.424115 1664755853.68661 -0.0436332 NaN
NaN NaN NaN NaN NaN NaN NaN 22.6203 NaN NaN NaN NaN NaN 1664755867.7276 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 20.6259 NaN NaN NaN NaN NaN 1664755881.74805 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 18.5693 NaN NaN NaN NaN NaN 1664755895.77167 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 16.1698 NaN NaN NaN NaN NaN 1664755909.79053 NaN NaN
233 -0.164502 0.0180353 1.64803 0.4538 231.71 -0.146 NaN 0.00627884 NaN NaN 1.68075 0.436332 1664755914.52713 -0.0471239 NaN
NaN NaN NaN NaN NaN NaN NaN 14.1443 NaN NaN NaN NaN NaN 1664755923.92966 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 12.2434 NaN NaN NaN NaN NaN 1664755937.95676 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 10.0933 NaN NaN NaN NaN NaN 1664755951.97995 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 7.81847 NaN NaN NaN NaN NaN 1664755965.99411 NaN NaN
233 -0.164502 0.152401 1.64804 0.4538 232.334 -0.146 NaN 0.122437 NaN NaN 1.5324 0.462512 1664755975.38565 -0.0349066 NaN
NaN NaN NaN NaN NaN NaN NaN 5.54367 NaN NaN NaN NaN NaN 1664755980.13235 NaN NaN
